ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
SLC43A3	0.593147851583205	0.368120067584806	0.818175635581603	7.1663894233244	5.18575107307374	3.81195751994465E-7	2.79155668065841E-4	6.18832711717328	6.418852	6.418852
SNX10	0.760563641728783	0.322862545168921	1.19826473828865	8.7733598985321	3.41855658878696	7.10523113744237E-4	0.0229912060572961	-0.629053951489175	3.148422	3.148422
SOD2	0.684231550448908	0.325864097197895	1.04259900369992	9.78134848121662	3.75629232747706	2.04667874700796E-4	0.0110665753612403	0.479043820369008	3.68895	3.68895
SPP1	0.611371546921985	0.27800841123305	0.944734682610921	12.7062516988268	3.60804958992684	3.57572820972084E-4	0.0147354491356579	-0.0191361324307771	3.446635	3.446635
SPRY2	0.5837349059342	0.245216048972615	0.922253762895786	9.4083249486957	3.39248273142128	7.79101775829709E-4	0.0241763131428218	-0.710596300040458	3.108406	3.108406
SPRY4	0.683577800047514	0.272528924272	1.09462667582303	7.85116422972478	3.27174413783484	0.00118486995372934	0.0308731845247004	-1.08062374042786	2.926329	2.926329
SSPN	0.536756494781722	0.240281518300302	0.833231471263142	8.65645522971282	3.56183758586741	4.23922506115264E-4	0.0165222906164924	-0.170672177212953	3.372714	3.372714
STEAP3	0.740247542171174	0.410754649636024	1.06974043470632	6.85445613739762	4.41993386181739	1.35150999106277E-5	0.00254120405616856	2.93011240926555	4.869181	4.869181
TAGLN2	0.521181804833581	0.240958367185811	0.801405242481352	9.79128215234821	3.65906089012509	2.95714512431489E-4	0.0135794446401707	0.150218878780379	3.529127	3.529127
TAGLN2P1	0.540345592797987	0.25824346718687	0.822447718409104	9.78829713864659	3.76834019417488	1.9543863750866E-4	0.0109969548392819	0.520336133400625	3.70899	3.70899
THBS4	0.748087105100958	0.276307655940106	1.21986655426181	7.28309912489621	3.11959343284685	0.00197488698280343	0.0400562353917302	-1.52908448562464	2.704458	2.704458
TIMP1	0.917808682194007	0.567967042059758	1.26765032232826	11.5607238434933	5.16137612848966	4.2999961157037E-7	2.99150729769507E-4	6.07782126248874	6.366532	6.366532
TMEM158	0.703573943185171	0.276366526592875	1.13078135977747	9.61630673108938	3.24008057822636	0.00131989927419467	0.0326125342950196	-1.17559542886874	2.879459	2.879459
TMEM176A	0.648030228482249	0.257472806877037	1.03858765008746	8.27258443343975	3.26433872728256	0.00121524922379678	0.0315466001863962	-1.1029127113651	2.915335	2.915335
TMEM176B	0.888372105749302	0.457383818952001	1.3193603925466	8.50824813999984	4.05521882126359	6.28915059196719E-5	0.00611938750605815	1.53891047132762	4.201408	4.201408
TNFAIP6	0.945078123945761	0.490430978216988	1.39972526967453	8.02852001547627	4.08957417055144	5.46601515207718E-5	0.00576167688075772	1.66540015368766	4.262329	4.262329
TNFRSF11B	0.560089336174635	0.191239755073681	0.92893891727559	5.4844402143827	2.98739642554895	0.00302991637269526	0.0485293515493081	-1.9024489395728	2.518569	2.518569
